ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score,Age_Group,Credit_Score_Category
0,0,January,Aaron Maashoh,23,0,Scientist,19114.12,1824.8433333333328,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,7,11.27,4,_,809.98,26.822619623699016,,No,49.57494921489417,80.41529543900253,High_spent_Small_value_payments,312.49408867943663,Good,Young,Good
0,0,August,0,23,0,Scientist,19114.12,1824.8433333333328,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,6,11.27,4,Good,809.98,23.93379480196552,0.0,No,49.57494921489417,24.785216509052056,High_spent_Medium_value_payments,358.12416760938714,Standard,Young,Medium
0,0,January,Rick Rothackerj,0,0,_______,34847.84,3037.986666666666,2,4,6,1,Credit-Builder Loan,3,4,5.42,2,Good,605.03,24.46403063758457,,No,18.816214573128885,104.291825168246,Low_spent_Small_value_payments,470.69062692529184,Standard,,Medium
0,0,January,Langep,34,0,_______,143162.64,12187.22,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",5,8,7.1,3,Good,1303.01,28.616734823006844,,No,246.9923194537421,168.413702679309,!@9#%8,1043.3159778669492,Good,Adult,Good
0,0,January,Jasond,54,0,Entrepreneur,30689.89,2612.4908333333333,2,5,4,1,Not Specified,0,6,1.99,4,Good,632.46,26.54422872407309,,No,16.415451659824875,81.22885871073616,Low_spent_Large_value_payments,433.6047729627723,Standard,Senior,Medium
0,0,January,Deepaa,21,0,Developer,,2853.3091666666664,7,5,5,0,0,5,0,2.58,4,Standard,943.86,39.79776423199917,,Yes,0.0,276.72539431736266,!@9#%8,288.60552234930395,Standard,Young,Medium
0,0,January,Np,31,0,Lawyer,73928.46,0.0,4,1288,8,0,0,12,10,10.14,2,Good,548.2,39.96268501363903,0.0,No,15015.0,98.67440994166124,High_spent_Large_value_payments,740.1960900583389,Good,Adult,Good
0,0,January,Nadiaq,33,0,Lawyer,131313.4,11242.783333333333,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,3,9.34,2,Good,352.16,32.200508995391914,,NM,137.6446054014217,378.1712535207537,High_spent_Medium_value_payments,858.462474411158,Good,Adult,Good
0,0,January,Annk,7580,0,Media_Manager,,0.0,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",30,11,17.13,5,Standard,1704.18,24.44806274625548,0.0,NM,70.47833267207261,162.4410091967751,Low_spent_Large_value_payments,298.19215813115227,Poor,Senior,Low
0,0,February,Charlie Zhur,23,0,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",14,8,,3,Good,1377.74,27.62632548676964,,NM,226.8927919215432,212.23560220847847,High_spent_Large_value_payments,785.2583558699787,Good,Young,Good
0,0,January,Jamesj,44,0,Journalist,31370.8,2825.233333333333,0,5,12,2,"Not Specified, and Payday Loan",4,0,5.76,2,Good,421.43,29.51935255713933,0.0,NM,46.61612907334207,154.352781097101,High_spent_Small_value_payments,341.55442316289026,Good,Middle-Aged,Good
0,0,February,Saphirj,40,0,Teacher,33751.27,2948.605833333333,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11.0,4,Standard,1328.93,30.908080633467584,,Yes,65.00817428651536,70.13107792087979,High_spent_Large_value_payments,399.7213311259382,Standard,Middle-Aged,Medium
0,0,January,Soyoungd,32,0,Engineer,88640.24,7266.686666666667,3,6,1,2,"Payday Loan, and Payday Loan",-1,0,3.51,3,Good,950.36,28.210617211444603,,No,135.17337097171767,98.93176402067012,High_spent_Large_value_payments,732.563531674279,Standard,Adult,Medium
0,0,January,Harriet McLeodd,35,0,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,8,5.54,3,Standard,179.22,25.64924606724341,,Yes,124.39208242092045,243.7354373920944,Low_spent_Large_value_payments,378.54048018698535,Standard,Adult,Medium
0,0,January,Sinead Carews,39,0,Manager,8701.545,0.0,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",23,9,8.86,6,_,2602.69,24.523163853918167,,Yes,36.54819717138717,13.066209919444336,Low_spent_Large_value_payments,272.2984679091685,Poor,Middle-Aged,Low
0,0,January,Poornimaf,36,0,Entrepreneur,25546.26,2415.855,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",16,14,7.83,5,Standard,758.44,37.41820916883601,,NM,101.3286373638512,53.104599112612064,High_spent_Medium_value_payments,337.1522635235368,Standard,Middle-Aged,Medium
0,0,January,Chalmersa,30,0,Scientist,31993.78,2942.148333333333,6,6,7,2,"Payday Loan, and Home Equity Loan",8,14,6.28,0,Standard,818.22,25.36959679239191,,Yes,45.14129822463578,81.99883505710139,Low_spent_Medium_value_payments,447.0747000515962,Standard,Adult,Medium
0,0,January,Parkm,20,0,Accountant,92047.08,0.0,6,7,16,0,0,16,11,9.13,0,Standard,1296.64,37.11561494309292,,Yes,0.0,154.6341231395093,!@9#%8,854.5248768604907,Standard,Young,Medium
0,0,January,Patrickg,45,0,Teacher,32284.62,2898.385,6,7,17,6,"Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan",11,12,9.22,8,Standard,1283.37,28.94089258854545,,Yes,103.03756035536594,254.86161508896944,Low_spent_Medium_value_payments,211.93932455566463,Standard,Middle-Aged,Medium
0,0,January,Laurence Frosty,26,0,Musician,97791.42,8079.285,6,6,12,0,0,18,8,17.92,1,Standard,107.41,25.71557884311532,,Yes,0.0,451.24651936958776,Low_spent_Small_value_payments,646.6819806304122,Standard,Adult,Medium
0,0,January,Reema,31,0,Entrepreneur,19300.34,1512.361666666667,6,7,17,5,"Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified",52,0,9.95,7,Bad,2430.21,29.934185732751413,,Yes,49.57206224445275,79.17641583265376,Low_spent_Small_value_payments,312.4876885895601,Poor,Adult,Low
0,0,February,Mark Felsenthald,41,0,Musician,19514.88,1828.24,7,5,17,0,0,30,14,4.17,2,_,881.4,25.665856781285065,,No,0.0,,High_spent_Large_value_payments,381.8960652385857,Standard,Middle-Aged,Medium
0,0,January,Lee Chyenz,41,0,Media_Manager,10183.015,0.0,7,5,17,5,"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan",48,0,8.969999999999997,6,Bad,1672.43,25.951272885300533,,Yes,37.58807283812568,14.622739235117402,High_spent_Large_value_payments,295.2476462600903,Poor,Middle-Aged,Low
0,0,February,Nickb,20,0,Entrepreneur,106733.13,8873.4275,4,4,1,0,0,5,7,,0,_,76.23,28.10808628993924,,No,0.0,807.2067768357648,Low_spent_Small_value_payments,370.1359731642354,Good,Young,Good
0,0,February,McBrideq,31,0,Lawyer,12600.445,782.0370833333334,5,5,10,-100,"Not Specified, Student Loan, and Student Loan",25,18,15.79,7,Standard,569.8,38.15374125597254,,Yes,26.060347529205966,103.1586179144364,Low_spent_Small_value_payments,238.98474288969095,Standard,Adult,Medium
0,0,January,Rickt,34,0,Mechanic,57983.12,4720.926666666667,9,8,31,8,"Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan",47,19,7.27,12,Bad,3532.83,32.321769461626175,0.0,Yes,200.43261339470683,265.70621194860047,Low_spent_Small_value_payments,295.95384132335937,Poor,Adult,Low
0,0,January,Reijik,48,0,Entrepreneur,20787.69,1999.3075,8,6,14,3,"Home Equity Loan, Credit-Builder Loan, and Home Equity Loan",22,14,1.13,3,Standard,614.6,23.723185779641085,,No,42.22199265643221,,Low_spent_Small_value_payments,253.3256223508209,Standard,Middle-Aged,Medium
0,0,January,Ashleyk,30,0,Writer,34290.12,2697.51,9,8,25,7,"Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan",52,10,17.96,9,Standard,2686.81,39.28029558815228,,NM,185.1119825795006,248.06995733765265,Low_spent_Large_value_payments,106.56906008284685,Poor,Adult,Low
0,0,January,Williamso,32,0,Accountant,43070.24,0.0,3,3,18,1,Debt Consolidation Loan,11,8,8.97,4,Standard,1233.1,27.980700663802917,,Yes,30.57608482316153,397.00224891024857,Low_spent_Small_value_payments,224.64033293325656,Standard,Adult,Medium
